Study_Hours_Per_Week,Attendance_Percentage,Previous_Exam_Score,Sleep_Hours_Per_Night,Practice_Tests_Taken,Tutoring_Sessions,Final_Exam_Score
20.0,87.9,59.8,5.2,2,7,73.3
43.0,51.2,44.2,7.4,8,2,77.1
34.3,51.1,63.8,5.4,11,2,74.0
28.9,66.2,58.1,5.9,1,1,62.8
11.2,74.4,79.3,5.6,2,4,62.4
11.2,88.5,75.1,5.4,1,3,65.4
7.3,84.2,61.1,8.6,12,6,74.7
39.6,72.3,52.6,5.9,0,3,64.3
29.0,63.7,97.3,9.1,3,8,90.1
33.3,99.9,66.3,9.3,4,1,78.9
5.8,71.3,79.9,7.4,12,10,78.7
43.8,72.6,48.2,5.2,5,5,75.7
38.3,58.2,68.2,6.4,4,6,85.8
13.5,89.7,41.6,8.5,0,3,56.3
12.3,84.7,69.3,6.3,2,5,61.0
12.3,61.0,95.9,4.9,0,6,61.4
17.2,54.1,62.3,7.3,10,3,64.1
26.0,84.0,42.3,8.7,4,7,71.8
22.3,82.7,41.8,8.5,4,8,69.2
16.6,63.7,62.5,5.4,15,0,71.4
29.5,97.5,49.3,7.9,11,6,86.4
10.6,57.6,41.4,5.6,10,8,62.7
16.7,71.6,83.9,5.6,12,9,85.9
19.7,97.2,66.6,8.9,5,4,69.5
23.2,71.0,56.8,5.7,7,1,63.2
36.4,81.9,92.2,5.8,9,9,100.0
13.0,69.9,46.7,4.5,15,5,65.8
25.6,63.7,95.4,8.9,11,6,92.8
28.7,99.2,58.2,8.5,0,1,67.3
6.9,70.5,91.5,7.6,3,1,58.0
29.3,94.7,75.0,8.3,9,9,93.5
11.8,61.5,87.9,5.3,15,9,84.8
7.6,60.7,97.1,6.8,10,0,65.6
43.0,51.6,56.7,6.3,0,3,68.4
43.6,82.6,95.7,5.0,8,6,97.8
37.3,68.4,62.6,6.9,10,8,92.5
17.2,93.2,62.4,9.1,6,2,68.0
8.9,73.7,59.7,4.7,6,10,70.3
32.4,98.4,71.4,6.0,11,6,97.4
22.6,59.3,48.9,5.5,4,6,61.1
9.9,93.4,72.1,5.7,6,6,66.3
24.8,88.8,71.4,9.0,11,1,73.4
6.4,88.5,84.2,6.8,14,5,73.8
41.4,92.2,88.4,6.8,1,1,81.4
15.4,88.1,65.5,8.3,13,5,83.6
31.5,81.3,57.5,5.3,12,9,88.0
17.5,56.6,55.0,6.9,3,2,55.6
25.8,51.6,51.3,6.6,13,1,59.4
26.9,96.0,43.3,7.5,13,5,75.8
12.4,80.8,59.9,9.5,15,1,74.3
43.8,89.8,55.7,8.3,6,4,87.6
36.0,74.1,96.1,6.5,15,1,96.1
42.6,55.9,72.3,8.6,2,2,80.0
40.8,56.3,60.1,5.4,1,2,74.6
28.9,84.3,73.7,4.7,9,5,82.3
41.9,71.5,48.1,5.5,1,5,72.7
8.5,60.0,65.8,6.2,12,9,71.5
12.8,74.6,76.3,7.1,0,2,67.2
6.8,53.2,68.4,7.6,4,2,45.1
18.0,79.1,63.3,9.1,11,0,72.3
20.5,63.4,97.6,7.0,5,6,79.7
15.9,89.9,91.1,7.0,5,7,83.2
38.1,65.5,76.2,4.8,15,1,85.8
19.3,72.8,73.0,4.7,8,3,69.9
16.2,50.6,76.0,7.3,3,9,71.4
26.7,53.6,51.7,6.7,0,6,71.6
10.6,69.6,62.9,8.7,5,7,67.7
37.1,74.0,42.3,5.3,14,0,72.2
8.0,80.0,67.6,4.6,4,3,55.8
44.5,64.6,71.5,6.7,9,5,89.3
35.9,84.7,53.2,5.7,5,2,67.1
12.9,93.0,95.9,4.7,2,4,71.2
5.2,89.0,92.7,8.1,1,9,75.7
37.6,52.0,81.9,5.1,5,8,80.9
33.3,74.0,70.9,7.5,12,10,98.8
34.2,55.2,90.5,5.9,0,2,75.7
35.9,62.1,47.6,5.4,6,4,67.8
8.0,99.3,85.8,6.4,6,7,75.8
19.3,57.1,47.2,8.5,9,5,70.2
9.6,74.9,86.1,6.5,12,3,76.7
39.5,80.9,56.0,8.3,6,7,85.8
29.9,85.1,90.9,5.1,14,10,100.0
18.2,78.0,94.8,8.4,11,2,83.2
7.5,50.5,48.6,5.7,10,2,48.7
17.4,66.3,66.8,7.9,9,3,61.6
18.0,75.9,96.9,7.3,0,8,85.1
34.2,54.4,68.0,9.1,14,4,87.0
30.5,67.5,90.1,6.4,3,7,85.3
40.5,51.7,74.1,4.8,12,5,88.0
23.9,53.9,61.8,4.6,6,2,59.4
9.8,69.8,56.6,8.6,15,7,72.5
33.5,56.6,51.8,7.1,10,8,74.4
35.4,78.4,84.2,8.4,8,7,100.0
27.5,84.5,62.4,5.7,4,3,66.5
35.8,90.0,69.7,6.2,12,10,95.0
24.8,60.0,68.6,4.7,1,5,63.2
25.9,58.4,73.5,9.3,6,0,74.1
22.1,55.2,90.2,7.8,9,3,78.2
6.0,81.8,96.9,9.2,0,7,66.6
9.3,85.3,63.6,5.8,15,0,71.4
6.3,51.6,88.0,7.6,6,2,63.4
30.5,96.8,84.3,7.9,5,0,83.9
17.6,52.6,73.3,6.1,6,8,72.9
25.3,77.1,95.5,8.7,15,1,99.7
41.3,85.5,51.6,9.2,13,8,100.0
15.0,93.5,46.3,8.9,12,3,67.2
21.4,85.7,89.5,8.2,9,1,86.9
35.2,90.1,65.5,5.9,2,3,77.7
14.2,67.0,89.1,5.9,14,10,89.4
8.1,90.7,91.8,9.3,2,10,72.7
16.6,54.0,43.6,4.6,6,9,59.1
11.4,94.7,91.2,8.1,12,5,82.2
42.2,77.4,66.0,8.0,1,10,91.5
37.3,90.9,69.6,7.6,0,6,86.3
30.3,72.6,76.3,9.5,8,2,74.2
39.9,82.2,93.7,6.1,8,2,93.4
37.1,76.3,41.1,6.2,6,9,82.8
12.5,86.6,67.7,4.9,6,7,68.7
40.7,54.1,79.9,6.7,2,4,82.6
26.6,53.0,81.9,5.8,9,3,77.6
37.3,62.4,80.2,6.2,15,6,97.1
40.8,58.0,47.8,8.7,14,6,86.1
17.7,93.6,57.4,9.2,1,8,65.8
9.4,61.0,60.8,5.4,10,8,61.9
14.1,98.8,86.7,6.4,6,4,79.4
22.1,66.8,56.2,9.1,8,7,73.7
37.7,59.1,52.2,4.8,0,9,71.5
39.4,89.5,95.5,5.0,12,0,94.6
5.3,82.9,40.5,5.3,13,8,62.3
25.4,74.9,97.9,7.5,3,7,89.1
21.7,77.8,79.3,5.3,15,5,84.6
13.9,86.0,88.1,9.3,5,2,68.6
9.8,61.4,57.1,6.7,6,2,56.3
18.5,99.8,40.8,7.0,9,7,71.1
42.7,98.7,82.8,5.7,6,4,95.1
17.9,82.5,88.4,6.9,9,9,92.7
25.8,60.0,82.9,7.8,1,10,79.3
33.1,84.0,48.3,8.3,13,6,86.6
19.5,53.6,83.7,8.3,3,4,64.7
43.9,51.5,84.6,7.4,4,7,89.3
43.5,62.9,78.2,9.0,13,9,100.0
15.1,73.1,84.4,8.6,11,9,80.0
24.9,93.4,89.1,8.3,0,3,78.5
17.0,86.4,75.6,4.8,0,1,61.1
16.4,87.1,45.1,4.5,9,2,60.9
6.5,71.3,68.3,5.6,2,7,62.1
29.4,67.3,44.5,7.8,14,10,85.4
25.1,68.6,63.6,6.6,14,6,87.2
7.1,99.4,63.6,6.5,9,1,60.0
16.1,52.0,43.8,8.9,2,5,53.3
41.3,93.4,60.2,9.0,15,8,100.0
14.6,78.9,46.4,9.0,11,3,61.7
10.8,71.9,86.9,6.1,7,8,78.7
24.6,86.3,95.0,8.0,15,1,100.0
44.4,74.3,44.2,5.9,8,1,76.2
14.7,93.7,95.4,5.5,15,8,95.5
31.9,95.0,70.3,5.4,14,6,93.8
35.5,71.1,57.4,6.2,13,6,83.7
14.5,63.8,44.5,6.6,10,0,48.4
34.1,79.6,69.0,8.7,11,10,93.5
19.7,95.6,86.1,5.1,0,5,68.8
30.3,60.5,81.0,8.2,15,6,98.5
